1. open,2. high,3. low,4. close,5. volume
575.3000,576.4100,573.6900,575.4600,38355735
570.8000,575.1500,570.2000,574.0800,58766795
559.2800,564.8900,558.0300,563.9800,83762964
563.3300,570.5700,562.6012,565.4900,62958195
562.8300,570.9500,561.6300,567.1300,66555985
564.8000,565.0200,559.0600,561.0200,66041422
562.7900,569.7100,562.3500,567.1500,49008709
556.1100,563.8300,551.4917,562.8100,62660321
558.4900,559.1050,549.6800,551.4200,74079414
562.1700,563.1100,553.6900,558.8700,69588167
559.4000,564.0200,552.0200,555.9200,88102109
567.5900,569.5400,555.5900,560.5800,97084529
570.9000,577.3900,565.6300,575.9200,81158816
575.4800,580.1736,570.1200,572.7100,80094868
576.6900,584.8800,573.0795,583.0600,71230528
579.7100,585.3900,572.2500,576.8600,109648212
596.1800,597.3400,579.9000,583.7700,74249199
585.5600,594.7200,582.4400,594.1800,88744106
596.8500,598.0200,584.6500,585.0500,74196664
595.9300,599.5800,591.8556,594.5400,43321578
597.1500,597.8900,589.5600,594.2400,58266472
602.0200,603.0300,596.4900,597.2100,50737213
610.1600,610.3000,599.4700,599.9400,76519818
611.5400,611.6840,607.0200,610.3800,36554002
610.0800,613.2300,609.5600,612.9300,31011072
610.8800,611.4900,608.3800,611.4900,26749030
609.9400,610.9900,609.0700,609.7000,26910448
604.4800,609.9400,603.2000,609.7300,40921297
599.2000,604.5500,598.5100,603.3600,45076076
602.5500,605.8600,602.4300,605.3100,30056740
604.0300,605.4999,602.7400,604.8500,26048714
606.8900,608.1300,600.0500,600.7700,50788516
605.9900,606.4525,602.6300,606.3200,35771503
600.6400,604.3700,598.5800,604.2200,30653149
597.8300,602.3000,597.2800,601.7800,33457815
592.6700,600.2900,590.4900,597.7700,65857248
607.5000,609.9600,601.0500,601.8200,66671471
603.9600,606.6000,600.7150,605.0400,39281255
603.7200,604.1300,599.2200,601.8100,37177429
600.6200,605.3700,597.2500,604.5200,44433322
594.8100,599.6900,594.6400,599.3700,70361125
609.8100,610.7800,606.8000,607.9700,34604693
605.8000,609.7500,605.5200,609.7500,41152102
605.9200,607.8200,605.3600,606.4400,48195973
600.6700,603.0600,598.6700,603.0500,42532853
